PassengerId,Survived_pred,Survived_prob
892,0,0.09476563160670999
893,0,0.4039632122225678
894,0,0.0849091539453529
895,0,0.11773525793048202
896,1,0.605234792310878
897,0,0.16856342499792917
898,1,0.6270201113593729
899,0,0.17795184027098251
900,1,0.7115369879994586
901,0,0.0757819493696601
902,0,0.11422458941210153
903,0,0.25679939070611635
904,1,0.9371426617939759
905,0,0.06153801152022679
906,1,0.832428909563618
907,1,0.7618315635320538
908,0,0.1817452215800531
909,0,0.13872781352704025
910,1,0.5633067600899057
911,1,0.5094001233436919
912,0,0.16558898079225842
913,0,0.18954610149308845
914,1,0.8968821501514153
915,0,0.4600520699101582
916,1,0.9217103550452593
917,0,0.043262989041651205
918,1,0.954249503279971
919,0,0.13308350916873227
920,0,0.4270322911736069
921,0,0.06108314904701191
922,0,0.09046351120725232
923,0,0.13932876306802508
924,1,0.5246221119123453
925,1,0.5663654384879363
926,0,0.4061474009572375
927,0,0.14858157450039033
928,1,0.642160134518502
929,1,0.692286295387931
930,0,0.12481949516703914
931,0,0.12909058368204865
932,0,0.08432506983288672
933,1,0.5277986788829477
934,0,0.07834658651614455
935,1,0.7841695540250858
936,1,0.8712220549377223
937,0,0.12432727836055267
938,0,0.39545322733688815
939,0,0.1141823223456384
940,1,0.8654120310855121
941,1,0.5868308226791348
942,0,0.4933766218971169
943,0,0.22434723952755786
944,1,0.7141358605231901
945,1,0.8724005252931285
946,0,0.21908755570976965
947,0,0.05426835500195646
948,0,0.09341615303128088
949,0,0.1862533587977311
950,0,0.08419772154317402
951,1,0.9594316468759038
952,0,0.15501588954042472
953,0,0.19700265626903674
954,0,0.15081103881794758
955,1,0.6848383440393531
956,1,0.6440472398793233
957,1,0.7985328696484769
958,1,0.7119191619779752
959,0,0.2596632948782311
960,1,0.5052165384580757
961,1,0.8348739614871092
962,1,0.6708598592412548
963,0,0.13895765582579814
964,1,0.634680138143157
965,1,0.5246404325817067
966,1,0.9547655197989008
967,1,0.6217809246552003
968,0,0.11426930644637762
969,1,0.7922604994969588
970,0,0.20710335194344517
971,1,0.6708598592412548
972,0,0.15655765130182786
973,0,0.28072580441918016
974,0,0.23888376653874516
975,0,0.11422458941210153
976,0,0.21670877719959467
977,0,0.08383476149759393
978,1,0.6493785588480478
979,1,0.712019535514429
980,1,0.6419625569067594
981,0,0.3146702474220263
982,1,0.6063383166751719
983,0,0.1141895688171169
984,1,0.8945298370065661
985,0,0.11426930644637762
986,0,0.4037886585250406
987,0,0.1242869749579417
988,1,0.6592246504788843
989,0,0.1110303786000533
990,1,0.698583036088843
991,0,0.09902677802106404
992,1,0.8791254270037476
993,0,0.17208396738131282
994,0,0.1141823223456384
995,0,0.1208345448385166
996,1,0.6476660232563465
997,0,0.11853532824175736
998,0,0.1389319420465749
999,0,0.1141823223456384
1000,0,0.11446160081104471
1001,0,0.40652005991404777
1002,0,0.15589174687801663
1003,1,0.6419817899140708
1004,1,0.9242991838746852
1005,1,0.7082691482749225
1006,1,0.8605573753257334
1007,0,0.11195867778888344
1008,0,0.11380244481632147
1009,1,0.7001915907785767
1010,0,0.498619263933005
1011,1,0.7305836438603218
1012,1,0.8670175290420461
1013,0,0.08237088502728361
1014,1,0.9044050673074265
1015,0,0.11403747702012515
1016,0,0.1141823223456384
1017,1,0.723187407195376
1018,0,0.13513407517058562
1019,0,0.47617246854800926
1020,0,0.1509681736848479
1021,0,0.1278982904656288
1022,0,0.101922908877538
1023,0,0.3353125531855772
1024,1,0.6535460822455299
1025,0,0.08208703468531509
1026,0,0.07385085410320552
1027,0,0.12783571771495014
1028,0,0.11897736367623603
1029,0,0.22894274227261346
1030,1,0.6780844101827214
1031,0,0.06398866447817879
1032,0,0.3690442403957037
1033,1,0.9126416098029587
1034,0,0.35815289511862464
1035,0,0.22423958750122994
1036,0,0.28233462297416223
1037,0,0.03912738793156828
1038,0,0.4753352066387294
1039,0,0.1352192352374199
1040,0,0.38124536772243856
1041,0,0.15881556580729073
1042,1,0.9573208190041599
1043,0,0.11422458941210153
1044,0,0.04431948283459316
1045,1,0.5842460198226844
1046,0,0.04984665009165095
1047,0,0.12773855488039873
1048,1,0.9634323972816331
1049,1,0.6779619166378197
1050,0,0.416456905378174
1051,1,0.6604388283290478
1052,1,0.6419515570019675
1053,0,0.1523724742405906
1054,1,0.8052990994400353
1055,0,0.11396511440902263
1056,0,0.15512183804154944
1057,1,0.5810404143989992
1058,0,0.38675097412659865
1059,0,0.08504861489209385
1060,1,0.8958272123585563
1061,1,0.6856032586742961
1062,0,0.11412436499375476
1063,0,0.11730802894627974
1064,0,0.09685160747546975
1065,0,0.11403145492440037
1066,0,0.06137716489780698
1067,1,0.8635780140675134
1068,1,0.8427261095168072
1069,0,0.268756735032559
1070,1,0.9101705494364589
1071,1,0.8522654695513645
1072,0,0.20710335194344517
1073,0,0.4069160685172682
1074,1,0.9133533371430259
1075,0,0.1141823223456384
1076,1,0.9222383420567322
1077,0,0.16052346427368108
1078,1,0.8322240581413396
1079,0,0.08173216363792334
1080,0,0.1058566901841851
1081,0,0.1593683328931388
1082,0,0.14243006725262417
1083,0,0.3808736307847284
1084,0,0.1344168332555255
1085,0,0.08804316589531329
1086,0,0.35856902095763254
1087,0,0.09897672723902035
1088,1,0.755039954008672
1089,1,0.7118579168406697
1090,0,0.24502640732665867
1091,1,0.6422012904447866
1092,1,0.6470510160274278
1093,0,0.2417803785494783
1094,0,0.4382299197294611
1095,1,0.8416495330543584
1096,0,0.23336467042680908
1097,0,0.38069909774227506
1098,1,0.588936339501783
1099,0,0.23914680097099084
1100,1,0.9300229180426943
1101,0,0.12431816856131281
1102,0,0.10578305082284217
1103,0,0.11397958372958061
1104,0,0.32027657488129413
1105,1,0.5010394851142971
1106,0,0.23435475402206438
1107,0,0.4276055153475784
1108,1,0.6420476529146862
1109,0,0.20115789509143148
1110,1,0.9008824868875716
1111,0,0.11426930644637762
1112,1,0.7172264404095859
1113,0,0.13901053589421042
1114,1,0.9129053906977517
1115,0,0.138923371673662
1116,1,0.7940899119857874
1117,1,0.6468846349736631
1118,0,0.1314323599371457
1119,1,0.6419625569067594
1120,0,0.0810453827055926
1121,0,0.17729958024910353
1122,0,0.3361003171578665
1123,1,0.9147188926725395
1124,0,0.10066721017478363
1125,0,0.11421977642494187
1126,0,0.4056035074963785
1127,0,0.1428218668656527
1128,0,0.24893802759108755
1129,0,0.14260126654621316
1130,1,0.78798770813894
1131,1,0.8455755312393458
1132,1,0.7835462241288906
1133,1,0.7022757134206375
1134,0,0.3808440224881728
1135,0,0.11422218289644007
1136,0,0.08583614014524843
1137,0,0.3555806206033796
1138,1,0.8277017984505898
1139,0,0.11578215669392354
1140,1,0.7305836438603218
1141,1,0.560023656001381
1142,1,0.8701690234899809
1143,0,0.1428467074540394
1144,1,0.5243290816806325
1145,0,0.12830638783520357
1146,0,0.10084171858126607
1147,0,0.11412436499375476
1148,0,0.1141823223456384
1149,0,0.11426930644637762
1150,1,0.8378936766857162
1151,0,0.13891624146131445
1152,0,0.06566317663652968
1153,0,0.13894339275670045
1154,1,0.7942661458344401
1155,1,0.7502589642016054
1156,0,0.20697985145402722
1157,0,0.11422458941210153
1158,0,0.36346646434693053
1159,0,0.11412436499375476
1160,1,0.642160134518502
1161,0,0.1553039016292388
1162,0,0.4192182093145318
1163,0,0.1141823223456384
1164,1,0.9405900887618371
1165,1,0.5607619634562113
1166,0,0.1140302389579261
